,Rank,City or Town,1990 Census,2000 Census,2007 Estimate,2008 Estimate,2015 Estimate,Province,Percent Change
0,1,Istanbul,6629431,8803468,10861463,10878360,14025646,Istanbul,111.56636218100769
1,2,Ankara,2583963,3203362,3842737,3894182,4587558,Ankara,77.53961647283649
2,3,İzmir,1758780,2232265,2644531,2672126,2847691,İzmir,61.91286005071698
3,4,Bursa,834576,1194687,1537040,1589530,1854285,Bursa,122.18288088801978
4,5,Adana,916150,1130710,1506272,1517787,1563545,Adana,70.6647383070458
5,6,Gaziantep,603434,853513,1192023,1235815,1495050,Gaziantep,147.75700407998224
6,7,Konya,513346,742690,973791,980973,1003373,Konya,95.4574497512399
7,8,Antalya,378208,603190,877945,911497,955573,Antalya,152.65806117268806
8,9,Kayseri,425776,536392,775594,781119,911984,Kayseri,114.19337867799031
9,10,Mersin,481459,633691,692300,696518,842230,Mersin,74.93286032663218
10,11,Eskişehir,413082,482793,581408,599796,617215,Eskişehir,49.41706489268475
11,12,Diyarbakır,373810,545963,613332,613821,614310,Diyarbakır,64.33749765923865
12,13,Samsun,322982,388509,459781,461640,511601,Samsun,58.3992296784341
13,14,Denizli,237918,357557,465947,479381,492815,Denizli,107.13649240494625
14,15,Şanlıurfa,276528,385588,472238,468993,465748,Şanlıurfa,68.42706706011687
15,16,Adapazarı,272039,283752,382226,548120,399022,Sakarya,46.67823363561842
16,17,Malatya,270412,381081,419212,411181,388590,Malatya,43.70294217712232
17,18,Kahramanmaraş,228129,326198,380805,385672,384953,Kahramanmaraş,68.74356175672536
18,19,Erzurum,242391,361235,361160,359752,358344,Erzurum,47.83717217223412
19,20,Van,155623,284464,331986,342139,352292,Van,126.37527871844136
20,21,Batman,147347,246678,293024,298342,313355,Batman,112.66466232770263
21,22,Elazığ,204603,266495,319381,312584,305787,Elazığ,49.453820325215176
22,23,İzmit,190741,195699,285470,287970,293339,Kocaeli,53.789169606953934
23,24,Manisa,158928,214949,281890,278967,291374,Manisa,83.3371086278063
24,25,Sivas,223115,251776,294402,288693,282984,Sivas,26.833247428456175
25,26,Gebze,159116,253487,270614,274271,282444,Kocaeli,77.50823298725457
26,27,Balıkesir,170589,215436,241404,247072,259157,Balıkesir,51.9189396737187
27,28,Tarsus,187508,216382,229921,228471,227021,Mersin,21.072700898095015
28,29,Kütahya,130944,166665,212934,202118,212444,Kütahya,62.24034701857283
